VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
2964, 13921,  5.68364,  1.16816, -9.02398,  0.69935,  0.40051, -0.59203,  0.3716,  0.5179,  0.3716,  0.5179
2965, 2063,  4.68844,  1.5245, -9.95852,  0.69935,  0.40051, -0.59203,  0.45676,  0.49973,  0.45676,  0.49973
2966, 13922,  4.05795,  5.09198, -8.28993,  0.69935,  0.40051, -0.59203,  0.44103,  0.22845,  0.44103,  0.22845
2967, 13923,  4.68844,  1.5245, -9.95852, -0.17061,  0.39256, -0.90376,  0.45676,  0.49973,  0.45676,  0.49973
2968, 2070,  3.3239,  1.0302, -9.91563, -0.17061,  0.39256, -0.90376,  0.54036,  0.5179,  0.54036,  0.5179
2969, 13924,  4.05795,  5.09198, -8.28993, -0.17061,  0.39256, -0.90376,  0.44103,  0.22845,  0.44103,  0.22845
2970, 13925,  3.42745,  1.5245, -6.62134,  0.15823,  0.39525,  0.90484,  0.16011,  0.31652,  0.16011,  0.31652
2971, 13926,  4.79199,  1.07642, -6.66424,  0.15823,  0.39525,  0.90484,  0.06739,  0.30581,  0.06739,  0.30581
2972, 13927,  4.05795,  5.09198, -8.28993,  0.15823,  0.39525,  0.90484,  0.16011,  0.5925,  0.16011,  0.5925
2973, 13928,  3.3239,  1.0302, -9.91563, -0.56511,  0.39256, -0.72564,  0.19234,  0.00,  0.19234,  0.00
2974, 13929,  2.38936,  1.5245, -8.92043, -0.56511,  0.39256, -0.72564,  0.13459,  0.03945,  0.13459,  0.03945
2975, 13930,  4.05795,  5.09198, -8.28993, -0.56511,  0.39256, -0.72564,  0.19234,  0.30581,  0.19234,  0.30581
2976, 13931,  3.3239,  1.0302, -9.91563,  0.02081, -0.99978, -0.00229,  0.25699,  0.22845,  0.25699,  0.22845
2977, 13932,  4.68844,  1.5245, -9.95852,  0.02081, -0.99978, -0.00229,  0.34839,  0.22816,  0.34839,  0.22816
2978, 13933,  5.68364,  1.16816, -9.02398,  0.02081, -0.99978, -0.00229,  0.4129,  0.16148,  0.4129,  0.16148
2979, 13933,  5.68364,  1.16816, -9.02398,  0.02081, -0.99978, -0.00229,  0.4129,  0.16148,  0.4129,  0.16148
2980, 13934,  2.38936,  1.5245, -8.92043,  0.02081, -0.99978, -0.00229,  0.19244,  0.16139,  0.19244,  0.16139
2981, 13931,  3.3239,  1.0302, -9.91563,  0.02081, -0.99978, -0.00229,  0.25699,  0.22845,  0.25699,  0.22845
2982, 13933,  5.68364,  1.16816, -9.02398,  0.02081, -0.99978, -0.00229,  0.4129,  0.16148,  0.4129,  0.16148
2983, 13935,  5.72654,  1.5245, -7.65944,  0.02081, -0.99978, -0.00229,  0.4129,  0.06677,  0.4129,  0.06677
2984, 13934,  2.38936,  1.5245, -8.92043,  0.02081, -0.99978, -0.00229,  0.19244,  0.16139,  0.19244,  0.16139
2985, 13935,  5.72654,  1.5245, -7.65944,  0.02081, -0.99978, -0.00229,  0.4129,  0.06677,  0.4129,  0.06677
2986, 13936,  2.43225,  1.02607, -7.55589,  0.02081, -0.99978, -0.00229,  0.19234,  0.06712,  0.19234,  0.06712
2987, 13934,  2.38936,  1.5245, -8.92043,  0.02081, -0.99978, -0.00229,  0.19244,  0.16139,  0.19244,  0.16139
2988, 13935,  5.72654,  1.5245, -7.65944,  0.02081, -0.99978, -0.00229,  0.4129,  0.06677,  0.4129,  0.06677
2989, 13937,  4.79199,  1.07642, -6.66424,  0.02081, -0.99978, -0.00229,  0.34824,  0.00019,  0.34824,  0.00019
2990, 13936,  2.43225,  1.02607, -7.55589,  0.02081, -0.99978, -0.00229,  0.19234,  0.06712,  0.19234,  0.06712
2991, 13937,  4.79199,  1.07642, -6.66424,  0.02081, -0.99978, -0.00229,  0.34824,  0.00019,  0.34824,  0.00019
2992, 13938,  3.42745,  1.5245, -6.62134,  0.02081, -0.99978, -0.00229,  0.25695,  0.00,  0.25695,  0.00
2993, 13936,  2.43225,  1.02607, -7.55589,  0.02081, -0.99978, -0.00229,  0.19234,  0.06712,  0.19234,  0.06712
2994, 2071, -11.46166,  6.44218, -0.69818, -0.86455,  0.41255, -0.28697,  0.62991,  0.91909,  0.62991,  0.91909
2995, 2072, -11.79022,  6.1732, -0.09503, -0.86455,  0.41255, -0.28697,  0.64389,  0.96431,  0.64389,  0.96431
2996, 2079, -10.89788,  8.1093,  0.00, -0.86455,  0.41255, -0.28697,  0.74203,  0.81399,  0.74203,  0.81399
