VTX, IDX, POSITION.x, POSITION.y, POSITION.z, TEXCOORD0.x, TEXCOORD0.y
25588, 5005,  0.0059,  0.19526,  0.01297,  0.01395,  0.09692
25589, 5009, -0.00348,  0.21266,  0.01181,  0.01274,  0.10541
25590, 5008, -0.01266,  0.22548,  0.01207,  0.01245,  0.11353
25591, 5012, -0.0034,  0.21317,  0.0002,  0.00543,  0.1058
25592, 5009, -0.00348,  0.21266,  0.01181,  0.01274,  0.10541
25593, 5008, -0.01266,  0.22548,  0.01207,  0.01245,  0.11353
25594, 5013, -0.01282,  0.22658,  0.00011,  0.00541,  0.11429
25595, 5012, -0.0034,  0.21317,  0.0002,  0.00543,  0.1058
25596, 5014,  0.02691,  0.14507,  0.0002,  0.00583,  0.07088
25597, 4987,  0.01515,  0.17214,  0.01882,  0.0189,  0.08641
25598, 5011,  0.0165,  0.17204,  0.0002,  0.00556,  0.08562
25599, 5014,  0.02691,  0.14507,  0.0002,  0.00583,  0.07088
25600, 4986,  0.02672,  0.14319,  0.01597,  0.01787,  0.07054
25601, 4987,  0.01515,  0.17214,  0.01882,  0.0189,  0.08641
25602, 5015,  0.03495,  0.11547,  0.0002,  0.00586,  0.05247
25603, 4986,  0.02672,  0.14319,  0.01597,  0.01787,  0.07054
25604, 5014,  0.02691,  0.14507,  0.0002,  0.00583,  0.07088
25605, 5015,  0.03495,  0.11547,  0.0002,  0.00586,  0.05247
25606, 4985,  0.0348,  0.11439,  0.01333,  0.01664,  0.05246
25607, 4986,  0.02672,  0.14319,  0.01597,  0.01787,  0.07054
25608, 5016,  0.03713,  0.09475,  0.0002,  0.00589,  0.04032
25609, 4985,  0.0348,  0.11439,  0.01333,  0.01664,  0.05246
25610, 5015,  0.03495,  0.11547,  0.0002,  0.00586,  0.05247
25611, 5016,  0.03713,  0.09475,  0.0002,  0.00589,  0.04032
25612, 4984,  0.03829,  0.08667,  0.00907,  0.01431,  0.03433
25613, 4985,  0.0348,  0.11439,  0.01333,  0.01664,  0.05246
25614, 4984,  0.03829,  0.08667,  0.00907,  0.01431,  0.03433
25615, 5016,  0.03713,  0.09475,  0.0002,  0.00589,  0.04032
25616, 4981,  0.04094,  0.0639, -0.00197,  0.00597,  0.02207
25617, 5017, -0.0701,  0.26913,  0.00987,  0.01114,  0.15251
25618, 5018, -0.07911,  0.27142,  0.00789,  0.00986,  0.15837
25619, 5019, -0.07624,  0.26963,  0.00017,  0.00515,  0.15578
25620, 5017, -0.0701,  0.26913,  0.00987,  0.01114,  0.15251
25621, 5019, -0.07624,  0.26963,  0.00017,  0.00515,  0.15578
25622, 5020, -0.06873,  0.26873,  0.00011,  0.00519,  0.14948
25623, 3006, -0.08193,  0.26939,  0.01612,  0.01502,  0.16037
25624, 5018, -0.07911,  0.27142,  0.00789,  0.00986,  0.15837
25625, 5017, -0.0701,  0.26913,  0.00987,  0.01114,  0.15251
25626, 3006, -0.08193,  0.26939,  0.01612,  0.01502,  0.16037
25627, 5017, -0.0701,  0.26913,  0.00987,  0.01114,  0.15251
25628, 3005, -0.07314,  0.2675,  0.02013,  0.01735,  0.1543
25629, 3006, -0.08193,  0.26939,  0.01612,  0.01502,  0.16037
25630, 2994, -0.08054,  0.27157,  0.00755,  0.00992,  0.15895
25631, 5018, -0.07911,  0.27142,  0.00789,  0.00986,  0.15837
25632, 3006, -0.08193,  0.26939,  0.01612,  0.01502,  0.16037
25633, 2993, -0.08367,  0.26964,  0.01518,  0.01503,  0.1611
25634, 2994, -0.08054,  0.27157,  0.00755,  0.00992,  0.15895
25635, 5018, -0.07911,  0.27142,  0.00789,  0.00986,  0.15837
25636, 2994, -0.08054,  0.27157,  0.00755,  0.00992,  0.15895
25637, 2995, -0.07909,  0.27219,  0.00017,  0.00514,  0.15807
25638, 5018, -0.07911,  0.27142,  0.00789,  0.00986,  0.15837
25639, 2995, -0.07909,  0.27219,  0.00017,  0.00514,  0.15807
25640, 5019, -0.07624,  0.26963,  0.00017,  0.00515,  0.15578
25641, 3086, -0.18892,  0.21018,  0.01329,  0.0129,  0.23841
25642, 3101, -0.20025,  0.20591,  0.0002,  0.00515,  0.24333
25643, 3085, -0.18664,  0.21146,  0.00019,  0.00516,  0.23347
25644, 4868, -0.17375,  0.19986,  0.06792,  0.05358,  0.23226
25645, 3058, -0.17499,  0.20297,  0.0639,  0.04915,  0.23214
25646, 3059, -0.1541,  0.20939,  0.0644,  0.05043,  0.21895
25647, 4869, -0.19372,  0.19235,  0.07079,  0.05372,  0.24498
25648, 3058, -0.17499,  0.20297,  0.0639,  0.04915,  0.23214
25649, 4868, -0.17375,  0.19986,  0.06792,  0.05358,  0.23226
25650, 4869, -0.19372,  0.19235,  0.07079,  0.05372,  0.24498
25651, 3056, -0.19617,  0.19443,  0.06707,  0.04988,  0.24625
25652, 3058, -0.17499,  0.20297,  0.0639,  0.04915,  0.23214
25653, 4870, -0.21128,  0.18112,  0.07685,  0.05624,  0.25735
25654, 3056, -0.19617,  0.19443,  0.06707,  0.04988,  0.24625
25655, 4869, -0.19372,  0.19235,  0.07079,  0.05372,  0.24498
25656, 4870, -0.21128,  0.18112,  0.07685,  0.05624,  0.25735
25657, 3054, -0.21506,  0.18254,  0.07382,  0.05299,  0.25955
25658, 3056, -0.19617,  0.19443,  0.06707,  0.04988,  0.24625
25659, 4871, -0.2252,  0.16805,  0.08623,  0.0607,  0.26829
25660, 3054, -0.21506,  0.18254,  0.07382,  0.05299,  0.25955
25661, 4870, -0.21128,  0.18112,  0.07685,  0.05624,  0.25735
25662, 4871, -0.2252,  0.16805,  0.08623,  0.0607,  0.26829
25663, 3052, -0.22949,  0.16864,  0.08365,  0.05796,  0.27059
25664, 3054, -0.21506,  0.18254,  0.07382,  0.05299,  0.25955
25665, 4872, -0.23532,  0.15263,  0.09857,  0.0682,  0.27817
25666, 3052, -0.22949,  0.16864,  0.08365,  0.05796,  0.27059
25667, 4871, -0.2252,  0.16805,  0.08623,  0.0607,  0.26829
25668, 4872, -0.23532,  0.15263,  0.09857,  0.0682,  0.27817
25669, 3050, -0.23968,  0.15232,  0.09664,  0.06631,  0.28054
25670, 3052, -0.22949,  0.16864,  0.08365,  0.05796,  0.27059
25671, 4873, -0.24148,  0.13591,  0.11302,  0.07869,  0.28244
25672, 3050, -0.23968,  0.15232,  0.09664,  0.06631,  0.28054
25673, 4872, -0.23532,  0.15263,  0.09857,  0.0682,  0.27817
25674, 4873, -0.24148,  0.13591,  0.11302,  0.07869,  0.28244
25675, 3048, -0.24589,  0.13466,  0.11155,  0.07775,  0.28551
25676, 3050, -0.23968,  0.15232,  0.09664,  0.06631,  0.28054
25677, 4874, -0.24343,  0.12074,  0.12694,  0.08851,  0.28402
25678, 3048, -0.24589,  0.13466,  0.11155,  0.07775,  0.28551
25679, 4873, -0.24148,  0.13591,  0.11302,  0.07869,  0.28244
25680, 4874, -0.24343,  0.12074,  0.12694,  0.08851,  0.28402
25681, 3046, -0.24789,  0.11859,  0.12612,  0.0887,  0.28734
25682, 3048, -0.24589,  0.13466,  0.11155,  0.07775,  0.28551
25683, 4875, -0.24086,  0.10776,  0.13939,  0.09802,  0.27983
25684, 3046, -0.24789,  0.11859,  0.12612,  0.0887,  0.28734
25685, 4874, -0.24343,  0.12074,  0.12694,  0.08851,  0.28402
25686, 4875, -0.24086,  0.10776,  0.13939,  0.09802,  0.27983
25687, 3044, -0.245,  0.10487,  0.13944,  0.099,  0.28338
25688, 3046, -0.24789,  0.11859,  0.12612,  0.0887,  0.28734
25689, 4876, -0.23462,  0.09782,  0.15179,  0.10631,  0.27337
25690, 3044, -0.245,  0.10487,  0.13944,  0.099,  0.28338
25691, 4875, -0.24086,  0.10776,  0.13939,  0.09802,  0.27983
25692, 4876, -0.23462,  0.09782,  0.15179,  0.10631,  0.27337
25693, 3042, -0.23771,  0.09428,  0.15281,  0.1084,  0.27659
25694, 3044, -0.245,  0.10487,  0.13944,  0.099,  0.28338
25695, 4887, -0.22334,  0.09276,  0.16245,  0.11247,  0.26508
25696, 3042, -0.23771,  0.09428,  0.15281,  0.1084,  0.27659
25697, 4876, -0.23462,  0.09782,  0.15179,  0.10631,  0.27337
25698, 4887, -0.22334,  0.09276,  0.16245,  0.11247,  0.26508
25699, 3040, -0.22484,  0.08875,  0.1647,  0.11579,  0.26727
25700, 3042, -0.23771,  0.09428,  0.15281,  0.1084,  0.27659
25701, 3038, -0.20629,  0.09251,  0.17093,  0.11662,  0.25384
25702, 3040, -0.22484,  0.08875,  0.1647,  0.11579,  0.26727
25703, 4887, -0.22334,  0.09276,  0.16245,  0.11247,  0.26508
25704, 3258, -0.13412, -0.00134,  0.2043,  0.19803,  0.21318
25705, 3127, -0.10361,  0.02726,  0.20498,  0.18241,  0.18388
25706, 3255, -0.10496,  0.0006,  0.20425,  0.20,  0.18604
25707, 3127, -0.10361,  0.02726,  0.20498,  0.18241,  0.18388
